Time,Temperature
2019-07-25 11:00:00,4.869817628
2019-07-25 11:30:00,5.123261017
2019-07-25 12:00:00,4.946063334
2019-07-25 12:30:00,4.871043552
2019-07-25 13:00:00,4.870285101
2019-07-25 13:30:00,4.872479361
2019-07-25 14:00:00,4.982550072
2019-07-25 14:30:00,5.084221444
2019-07-25 15:00:00,5.228270334
2019-07-25 15:30:00,5.086310796
2019-07-25 16:00:00,5.060260738
2019-07-25 16:30:00,5.061520068
2019-07-25 17:00:00,5.053887772
2019-07-25 17:30:00,5.029059027
2019-07-25 18:00:00,4.857181542
2019-07-25 18:30:00,4.879362659
2019-07-25 19:00:00,4.936437218
2019-07-25 19:30:00,4.977088266
2019-07-25 20:00:00,5.060375223
2019-07-25 20:30:00,5.150322772
2019-07-25 21:00:00,4.99470916
2019-07-25 21:30:00,4.901834729
2019-07-25 22:00:00,4.880297605
2019-07-25 22:30:00,4.875789832
2019-07-25 23:00:00,4.939728605
2019-07-25 23:30:00,4.970190651
2019-07-26 00:00:00,4.953051571
2019-07-26 00:30:00,5.057250751
2019-07-26 01:00:00,5.151758629
2019-07-26 01:30:00,5.217341324
2019-07-26 02:00:00,5.201613361
2019-07-26 02:30:00,5.106183544
2019-07-26 03:00:00,4.894550747
2019-07-26 03:30:00,4.872293326
2019-07-26 04:00:00,4.864479849
2019-07-26 04:30:00,4.869440787
2019-07-26 05:00:00,4.905684221
2019-07-26 05:30:00,4.963898847
2019-07-26 06:00:00,5.04880276
2019-07-26 06:30:00,5.11528993
2019-07-26 07:00:00,5.076121634
2019-07-26 07:30:00,5.027909417
2019-07-26 08:00:00,5.024374728
2019-07-26 08:30:00,5.032145323
2019-07-26 09:00:00,5.10136084
2019-07-26 09:30:00,5.059654924
2019-07-26 10:00:00,5.04003041
2019-07-26 10:30:00,4.956209396
2019-07-26 11:00:00,4.905045024
2019-07-26 11:30:00,4.933288935
2019-07-26 12:00:00,4.949388112
2019-07-26 12:30:00,4.992586446
2019-07-26 13:00:00,4.992858344
2019-07-26 13:30:00,5.070788551
2019-07-26 14:00:00,5.080658098
2019-07-26 14:30:00,5.14731749
2019-07-26 15:00:00,5.24774804
2019-07-26 15:30:00,5.399077374
2019-07-26 16:00:00,4.887257222
2019-07-26 16:30:00,4.867103422
2019-07-26 17:00:00,4.868658486
2019-07-26 17:30:00,4.929701801
2019-07-26 18:00:00,4.909905782
2019-07-26 18:30:00,5.034530406
2019-07-26 19:00:00,5.10548709
2019-07-26 19:30:00,5.207299651
2019-07-26 20:00:00,5.232535094
2019-07-26 20:30:00,5.07172351
2019-07-26 21:00:00,5.266391069
2019-07-26 21:30:00,5.032150093
2019-07-26 22:00:00,4.989452463
2019-07-26 22:30:00,4.947761499
2019-07-26 23:00:00,4.942085048
2019-07-26 23:30:00,4.909586183
2019-07-27 00:00:00,4.910354173
2019-07-27 00:30:00,4.946053793
2019-07-27 01:00:00,4.997165784
2019-07-27 01:30:00,5.005957164
2019-07-27 02:00:00,5.203917452
2019-07-27 02:30:00,5.331876715
2019-07-27 03:00:00,5.332329927
2019-07-27 03:30:00,5.204799972
2019-07-27 04:00:00,5.07098413
2019-07-27 04:30:00,4.91478562
2019-07-27 05:00:00,4.905932267
2019-07-27 05:30:00,4.94103562
2019-07-27 06:00:00,4.950275356
2019-07-27 06:30:00,4.98075173
2019-07-27 07:00:00,5.2997705
2019-07-27 07:30:00,5.383920499
2019-07-27 08:00:00,5.301506989
2019-07-27 08:30:00,5.041299276
2019-07-27 09:00:00,5.010593749
2019-07-27 09:30:00,4.967753113
2019-07-27 10:00:00,4.930860941
2019-07-27 10:30:00,4.940534756
2019-07-27 11:00:00,5.012649685
2019-07-27 11:30:00,5.158446587
2019-07-27 12:00:00,5.316935094
2019-07-27 12:30:00,5.417855494
2019-07-27 13:00:00,5.567263871
2019-07-27 13:30:00,5.146692582
2019-07-27 14:00:00,4.965158161
2019-07-27 14:30:00,4.926553518
2019-07-27 15:00:00,4.98830286
2019-07-27 15:30:00,5.090608759
2019-07-27 16:00:00,5.279657863
2019-07-27 16:30:00,5.257851894
2019-07-27 17:00:00,5.340597485
2019-07-27 17:30:00,5.28851675
2019-07-27 18:00:00,5.310370741
2019-07-27 18:30:00,5.009425062
2019-07-27 19:00:00,4.98830286
2019-07-27 19:30:00,5.903675579
2019-07-27 20:00:00,5.179798534
2019-07-27 20:30:00,5.274166994
2019-07-27 21:00:00,5.757206704
2019-07-27 21:30:00,5.486715375
